scenery;sequence_size;sequence;total;total_time_span;avg_time_span;i_support;s_support;ids;grade_avg;grade_avg_deviation;grade_median;grade_mode;max_grade
2;3;assignment_vis_END>resource_vis_END>assignment_vis_END;556;633852;274135.96;3470;556;556;1.4;0.5;1.5;1.5;2
2;3;assignment_vis_END>resource_vis_END>assignment_sub_END;619;633852;269709.56;3817;619;619;1.4;0.51;1.5;1.5;2
2;3;assignment_vis_END>resource_vis_END>assignment_try_END;393;633580;257045.58;1518;393;393;1.42;0.51;1.5;1.5;2
2;3;assignment_vis_END>assignment_vis_END>assignment_sub_END;948;633852;275340.81;7531;948;948;1.39;0.5;1.5;1.5;2
2;3;assignment_vis_END>assignment_vis_END>assignment_try_END;528;633768;253122.73;2914;528;528;1.4;0.52;1.5;1.5;2
2;3;assignment_vis_END>assignment_vis_END>resource_vis_END;184;633768;327256.92;368;184;184;1.31;0.5;1.5;1.5;2
2;3;assignment_vis_END>assignment_vis_END>assignment_vis_END;338;633768;296814.33;1820;338;338;1.42;0.49;1.5;1.5;2
2;3;assignment_vis_END>forum_vis_END>assignment_vis_END;227;632126;318317.3;454;227;227;1.35;0.51;1.5;1.5;2
2;3;assignment_vis_END>forum_vis_END>assignment_sub_END;241;632271;321732.56;468;241;241;1.34;0.52;1.5;1.5;2
2;3;assignment_try_END>resource_vis_END>assignment_vis_END;244;633852;277013.07;962;244;244;1.37;0.51;1.5;1.5;2
2;3;assignment_try_END>resource_vis_END>assignment_sub_END;296;633852;262947.3;1064;296;296;1.37;0.51;1.5;1.5;2
2;3;assignment_try_END>assignment_vis_END>assignment_sub_END;680;633927;270326.94;4205;680;680;1.38;0.51;1.5;1.5;2
2;3;assignment_try_END>assignment_vis_END>assignment_vis_END;174;633768;292640.98;690;174;174;1.39;0.49;1.5;1.5;2
2;3;assignment_try_END>assignment_vis_END>assignment_try_END;181;632845;239484.7;720;181;181;1.35;0.55;1.5;1.5;2
2;3;assignment_try_END>assignment_try_END>assignment_sub_END;189;632845;237601.82;736;189;189;1.35;0.55;1.5;1.5;2
2;3;resource_vis_END>assignment_vis_END>assignment_sub_END;1099;633852;246926.5;7453;1099;1099;1.41;0.5;1.5;1.5;2
2;3;resource_vis_END>assignment_vis_END>assignment_try_END;910;633843;226277.8;4866;910;910;1.41;0.5;1.5;1.5;2
2;3;resource_vis_END>assignment_vis_END>resource_vis_END;197;633686;301576.35;740;197;197;1.37;0.5;1.5;1.5;2
2;3;resource_vis_END>assignment_vis_END>assignment_vis_END;450;633686;254334.68;2698;450;450;1.42;0.48;1.5;1.5;2
2;3;resource_vis_END>assignment_try_END>assignment_vis_END;351;633670;231635.99;1380;351;351;1.43;0.49;1.5;1.5;2
2;3;resource_vis_END>assignment_try_END>assignment_sub_END;946;633843;228265.56;4783;946;946;1.42;0.51;1.5;1.5;2
2;3;resource_vis_END>resource_vis_END>assignment_vis_END;230;633686;292114.43;806;230;230;1.41;0.49;1.5;1.5;2
2;3;resource_vis_END>resource_vis_END>assignment_sub_END;256;633686;295024.42;856;256;256;1.4;0.5;1.5;1.5;2
2;3;resource_vis_END>forum_vis_END>assignment_vis_END;231;632322;305110.2;820;231;231;1.4;0.49;1.5;1.5;2
2;3;resource_vis_END>forum_vis_END>assignment_sub_END;239;632322;304462.25;833;239;239;1.39;0.5;1.5;1.5;2
2;3;resource_vis_END>forum_vis_END>assignment_try_END;184;632322;289676.15;726;184;184;1.43;0.47;1.5;1.5;2
2;3;assignment_try_START>assignment_vis_START>assignment_vis_END;172;633822;531820.63;678;172;172;1.33;0.54;1.5;1.5;2
2;3;assignment_try_START>assignment_vis_START>assignment_sub_END;187;633822;530536.5;708;187;187;1.35;0.54;1.5;1.5;2
2;3;assignment_try_START>assignment_vis_END>assignment_sub_END;289;633822;520912.41;1082;289;289;1.34;0.52;1.5;1.5;2
2;3;assignment_try_START>resource_vis_END>assignment_sub_END;173;633747;528476.72;344;173;173;1.33;0.49;1.5;1.5;2
2;3;forum_vis_START>assignment_vis_END>assignment_try_END;203;633093;482949.08;406;203;203;1.44;0.49;1.5;1.5;2
2;3;forum_vis_START>assignment_vis_END>assignment_sub_END;242;633918;486122.15;445;242;242;1.43;0.48;1.5;1.5;2
2;3;forum_vis_START>assignment_try_END>assignment_sub_END;211;633918;484108.25;414;211;211;1.44;0.5;1.5;1.5;2
2;3;forum_vis_END_SOME>assignment_vis_END>assignment_sub_END;226;633569;360835.47;415;226;226;1.45;0.46;1.5;1.5;2
