id,userid,t,component,action,target,objectid,objecttable,courseid,relateduserid,extra_info,crud,assignment_id
166111097,90908,1574167964,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166111207,118543,1574167998,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166111231,118543,1574168006,mod_quiz,started,attempt,2378543.0,quiz_attempts,2060,118543.0,N;,c,12842.0
166111461,132525,1574168101,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166111683,132525,1574168164,mod_quiz,started,attempt,2378551.0,quiz_attempts,2060,132525.0,N;,c,12842.0
166112002,137066,1574168272,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166112311,137066,1574168355,mod_quiz,submitted,attempt,2378465.0,quiz_attempts,2060,137066.0,"a:2:{s:11:""submitterid"";s:6:""137066"";s:6:""quizid"";s:5:""12842"";}",u,12842.0
166112337,137066,1574168362,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166113230,138190,1574168606,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166113495,53048,1574168647,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166113494,137576,1574168647,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
