sequence_size;sequence;total;total_time_span;avg_time_span;i_support;s_support;ids;grade_avg;grade_median;grade_mode;max_grade
3;forum_vis_START>resource_vis_START>assignment_sub_END;179;632750;483880.9776536313;358;179;179;1.46 (+- 0.49);1.5;1.5;2
3;forum_vis_START>resource_vis_END>assignment_vis_END;189;633093;493661.71957671957;378;189;189;1.46 (+- 0.50);1.5;1.5;2
3;forum_vis_START>resource_vis_END>assignment_sub_END;197;633093;491443.31979695434;386;197;197;1.45 (+- 0.50);1.5;1.5;2
3;forum_vis_START>assignment_vis_END>assignment_try_END;276;633918;485875.77898550726;986;276;276;1.45 (+- 0.49);1.5;1.5;2
3;forum_vis_START>assignment_vis_END>assignment_vis_END;191;633918;503857.8848167539;382;191;191;1.44 (+- 0.47);1.5;1.5;2
3;forum_vis_START>assignment_vis_END>assignment_sub_END;324;633918;486467.9537037037;2014;324;324;1.44 (+- 0.48);1.5;1.5;2
3;forum_vis_START>assignment_try_END>assignment_sub_END;276;633918;485875.77898550726;986;276;276;1.45 (+- 0.49);1.5;1.5;2
3;forum_vis_START>forum_vis_END>assignment_vis_END;208;633086;490925.02403846156;762;208;208;1.45 (+- 0.48);1.5;1.5;2
3;forum_vis_START>forum_vis_END>assignment_sub_END;209;633086;490185.1052631579;764;209;209;1.44 (+- 0.49);1.5;1.5;2
3;forum_vis_END>forum_participation_END>forum_vis_END;169;632823;375912.9881656805;676;169;169;1.44 (+- 0.47);1.5;1.5;2
3;forum_vis_END>forum_participation_END>assignment_vis_END;179;633086;375942.843575419;696;179;179;1.44 (+- 0.46);1.5;1.5;2
3;forum_vis_END>forum_participation_END>assignment_sub_END;179;633086;375942.843575419;696;179;179;1.44 (+- 0.46);1.5;1.5;2
3;forum_vis_END>forum_vis_END>forum_vis_END;173;632043;367390.3699421965;692;173;173;1.42 (+- 0.48);1.5;1.5;2
3;forum_vis_END>forum_vis_END>assignment_vis_END;287;632823;362067.02090592333;2070;287;287;1.42 (+- 0.48);1.5;1.5;2
3;forum_vis_END>forum_vis_END>assignment_sub_END;289;632823;361414.6435986159;2073;289;289;1.42 (+- 0.48);1.5;1.5;2
3;forum_vis_END>forum_vis_END>assignment_try_END;236;632823;361783.3686440678;942;236;236;1.45 (+- 0.48);1.5;1.5;2
3;forum_vis_END>assignment_vis_END>assignment_sub_END;559;633726;332534.4114490161;6316;559;559;1.41 (+- 0.49);1.5;1.5;2
3;forum_vis_END>assignment_vis_END>assignment_try_END;457;633086;320262.22757111595;3578;457;457;1.42 (+- 0.49);1.5;1.5;2
3;forum_vis_END>assignment_vis_END>resource_vis_END;169;632823;342967.36094674555;338;169;169;1.35 (+- 0.52);1.5;1.5;2
3;forum_vis_END>assignment_vis_END>assignment_vis_END;276;633086;352799.8731884058;904;276;276;1.39 (+- 0.48);1.5;1.5;2
3;forum_vis_END>assignment_try_END>assignment_sub_END;459;633086;318875.61437908496;3588;459;459;1.42 (+- 0.49);1.5;1.5;2
3;forum_vis_END>assignment_try_END>assignment_vis_END;177;633086;343007.2768361582;706;177;177;1.43 (+- 0.45);1.5;1.5;2
3;forum_vis_END>resource_vis_END>assignment_vis_END;311;633569;320843.347266881;1424;311;311;1.41 (+- 0.50);1.5;1.5;2
3;forum_vis_END>resource_vis_END>assignment_try_END;230;632059;307871.7304347826;916;230;230;1.42 (+- 0.49);1.5;1.5;2
