sequence_size;sequence;total;total_time_span;avg_time_span;i_support;s_support;ids;grade_avg;grade_median;grade_mode;max_grade
4;assignment_vis>resource_vis>forum_vis>assignment_sub;290;633184;388595.64137931034;1416;290;290;1.43 (+- 0.50);1.5;1.5;2
4;assignment_vis>resource_vis>forum_vis>forum_vis;222;632814;410687.02252252254;802;222;222;1.43 (+- 0.49);1.5;1.5;2
4;assignment_vis>resource_vis>forum_vis>resource_vis;174;632814;413993.8218390805;348;174;174;1.40 (+- 0.52);1.5;1.5;2
4;assignment_vis>assignment_try>resource_vis>assignment_sub;233;633768;396938.4721030043;233;233;233;1.33 (+- 0.54);1.5;1.5;2
4;assignment_vis>assignment_try>assignment_vis>assignment_sub;218;633843;406506.6788990826;218;218;218;1.34 (+- 0.52);1.5;1.5;2
4;assignment_vis>assignment_vis>assignment_vis>assignment_vis;253;633822;451114.9881422925;506;253;253;1.32 (+- 0.55);1.5;1.5;2
4;assignment_vis>assignment_vis>assignment_vis>resource_vis;247;633747;453586.05263157893;494;247;247;1.34 (+- 0.53);1.5;1.5;2
4;assignment_vis>assignment_vis>assignment_vis>assignment_sub;423;633907;412332.4657210402;1630;423;423;1.34 (+- 0.53);1.5;1.5;2
4;assignment_vis>assignment_vis>resource_vis>resource_vis;265;633832;401659.1509433962;530;265;265;1.31 (+- 0.54);1.5;1.5;2
4;assignment_vis>assignment_vis>resource_vis>assignment_sub;454;633832;397271.2224669604;1832;454;454;1.36 (+- 0.51);1.5;1.5;2
4;assignment_vis>assignment_vis>resource_vis>assignment_vis;228;633832;441795.7456140351;456;228;228;1.34 (+- 0.56);1.5;1.5;2
4;assignment_vis>assignment_vis>resource_vis>forum_vis;171;632729;431520.2748538012;342;171;171;1.39 (+- 0.52);1.5;1.5;2
4;assignment_vis>assignment_vis>assignment_try>assignment_sub;238;633822;394728.2268907563;238;238;238;1.35 (+- 0.54);1.5;1.5;2
4;assignment_vis>assignment_vis>forum_vis>assignment_sub;258;633722;406985.7131782946;628;258;258;1.37 (+- 0.51);1.5;1.5;2
4;assignment_vis>assignment_vis>forum_vis>forum_vis;199;633389;417665.08040201006;398;199;199;1.38 (+- 0.49);1.5;1.5;2
4;assignment_vis>forum_vis>forum_vis>forum_vis;260;633575;411672.51923076925;2050;260;260;1.43 (+- 0.48);1.5;1.5;2
4;assignment_vis>forum_vis>forum_vis>assignment_sub;321;633575;395676.9563862928;2543;321;321;1.42 (+- 0.49);1.5;1.5;2
4;assignment_vis>forum_vis>forum_vis>resource_vis;198;633569;416345.0505050505;396;198;198;1.40 (+- 0.50);1.5;1.5;2
4;assignment_vis>forum_vis>assignment_vis>assignment_sub;232;633761;426014.5905172414;399;232;232;1.35 (+- 0.53);1.5;1.5;2
