sequence_size;sequence;total;total_time_span;avg_time_span;i_support;f_support;s_support;ids;grade_avg;grade_median;grade_mode;max_grade
3;resource_vis>assignment_try>assignment_vis;295;690540;503552.57288135594;2614;12;295;295;1.26 (+- 0.55);1.5;1.5;2
3;resource_vis>assignment_try>resource_vis;221;690319;512992.6561085973;790;4;221;221;1.24 (+- 0.57);1.5;1.5;2
3;forum_vis>forum_vis>assignment_vis;403;690598;491674.35732009925;32426;157;403;403;1.29 (+- 0.51);1.5;1.5;2
3;forum_vis>forum_vis>resource_vis;271;690598;486506.60147601477;3936;20;271;271;1.25 (+- 0.56);1.5;1.5;2
3;forum_vis>forum_vis>assignment_sub;516;690598;459725.3507751938;53080;253;516;516;1.25 (+- 0.53);1.5;1.5;2
3;forum_vis>forum_vis>forum_vis;445;690598;468611.35280898877;67276;332;445;445;1.25 (+- 0.54);1.5;1.5;2
3;forum_vis>forum_vis>forum_participation;264;690266;468163.7083333333;19706;106;264;264;1.27 (+- 0.53);1.5;1.5;2
3;forum_vis>forum_vis>assignment_try;227;690209;506708.03524229076;1928;10;227;227;1.33 (+- 0.51);1.5;1.5;2
3;forum_vis>assignment_vis>assignment_vis;408;690598;502001.6544117647;21073;101;408;408;1.30 (+- 0.52);1.5;1.5;2
3;forum_vis>assignment_vis>resource_vis;245;690598;495474.5755102041;1990;10;245;245;1.26 (+- 0.55);1.5;1.5;2
3;forum_vis>assignment_vis>assignment_sub;509;690598;475329.81139489193;31655;147;509;509;1.27 (+- 0.52);1.5;1.5;2
3;forum_vis>assignment_vis>forum_vis;297;690598;503888.81481481483;12526;64;297;297;1.28 (+- 0.52);1.5;1.5;2
3;forum_vis>assignment_vis>assignment_try;233;690540;508796.5107296137;1560;8;233;233;1.33 (+- 0.50);1.5;1.5;2
3;forum_vis>resource_vis>assignment_sub;343;690598;469578.26822157437;5132;25;343;343;1.20 (+- 0.58);1.5;1.5;2
3;forum_vis>resource_vis>assignment_vis;225;690598;517006.70222222223;1162;6;225;225;1.25 (+- 0.56);1.5;1.5;2
3;forum_vis>resource_vis>resource_vis;196;690598;497583.71428571426;392;2;196;196;1.24 (+- 0.57);1.5;1.5;2
3;forum_vis>resource_vis>forum_vis;192;690598;495401.671875;708;4;192;192;1.28 (+- 0.56);1.5;1.5;2
3;forum_vis>assignment_sub>assignment_vis;342;690554;515534.40935672517;6750;32;342;342;1.29 (+- 0.51);1.5;1.5;2
3;forum_vis>assignment_sub>assignment_sub;402;690554;513334.6815920398;9297;43;402;402;1.29 (+- 0.52);1.5;1.5;2
3;forum_vis>assignment_sub>forum_vis;198;690203;526136.696969697;1418;8;198;198;1.32 (+- 0.51);1.5;1.5;2
3;forum_vis>forum_participation>forum_vis;248;690266;467039.7983870968;16106;88;248;248;1.28 (+- 0.53);1.5;1.5;2
3;forum_vis>forum_participation>assignment_sub;268;690266;465200.9141791045;13728;73;268;268;1.27 (+- 0.53);1.5;1.5;2
3;forum_vis>forum_participation>assignment_vis;198;690238;500504.00505050505;2526;14;198;198;1.33 (+- 0.50);1.5;1.5;2
3;forum_vis>forum_participation>forum_participation;180;690266;492178.22777777776;4076;24;180;180;1.29 (+- 0.53);1.5;1.5;2
3;forum_vis>assignment_try>assignment_sub;296;690554;495795.14864864864;2675;13;296;296;1.28 (+- 0.52);1.5;1.5;2
3;forum_vis>assignment_try>assignment_vis;192;690554;517669.5833333333;384;2;192;192;1.32 (+- 0.52);1.5;1.5;2
3;forum_participation>forum_vis>forum_vis;214;690266;486969.2990654206;10754;60;214;214;1.29 (+- 0.52);1.5;1.5;2
3;forum_participation>forum_vis>assignment_sub;249;690266;467597.1967871486;10837;59;249;249;1.28 (+- 0.53);1.5;1.5;2
3;forum_participation>forum_vis>assignment_vis;184;690238;496423.7554347826;1418;8;184;184;1.32 (+- 0.50);1.5;1.5;2
3;forum_participation>forum_vis>forum_participation;178;690266;491576.90449438203;3734;22;178;178;1.29 (+- 0.53);1.5;1.5;2
3;forum_participation>assignment_vis>assignment_sub;200;690238;501529.46;1647;9;200;200;1.33 (+- 0.50);1.5;1.5;2
3;forum_participation>forum_participation>forum_vis;170;690208;493509.03529411764;1676;10;170;170;1.30 (+- 0.53);1.5;1.5;2
3;forum_participation>forum_participation>assignment_sub;180;690266;492178.22777777776;3071;18;180;180;1.29 (+- 0.53);1.5;1.5;2
4;assignment_sub>assignment_vis>assignment_vis>assignment_vis;790;690584;545874.5962025316;28093;107;790;790;1.24 (+- 0.53);1.5;1.5;2
4;assignment_sub>assignment_vis>assignment_vis>assignment_try;423;690282;559319.5224586289;5050;21;423;423;1.26 (+- 0.52);1.5;1.5;2
4;assignment_sub>assignment_vis>assignment_vis>assignment_sub;1035;690598;519550.8541062802;32588;123;1035;1035;1.25 (+- 0.53);1.5;1.5;2
4;assignment_sub>assignment_vis>assignment_vis>resource_vis;406;690528;551793.7610837439;6172;27;406;406;1.25 (+- 0.52);1.5;1.5;2
4;assignment_sub>assignment_vis>assignment_vis>forum_vis;277;690506;554560.0649819495;2442;12;277;277;1.27 (+- 0.52);1.5;1.5;2
4;assignment_sub>assignment_vis>assignment_try>assignment_sub;578;690540;524564.0311418686;6799;27;578;578;1.28 (+- 0.52);1.5;1.5;2
4;assignment_sub>assignment_vis>assignment_try>assignment_vis;338;690503;560599.2366863905;2744;12;338;338;1.30 (+- 0.52);1.5;1.5;2
4;assignment_sub>assignment_vis>assignment_try>resource_vis;191;690203;559815.6492146597;382;2;191;191;1.28 (+- 0.53);1.5;1.5;2
4;assignment_sub>assignment_vis>assignment_sub>assignment_vis;496;690303;579530.2056451613;6092;24;496;496;1.26 (+- 0.51);1.5;1.5;2
4;assignment_sub>assignment_vis>assignment_sub>assignment_sub;613;690303;580478.176182708;7915;31;613;613;1.27 (+- 0.51);1.5;1.5;2
4;assignment_sub>assignment_vis>forum_vis>forum_vis;304;690438;529391.197368421;4248;20;304;304;1.30 (+- 0.50);1.5;1.5;2
4;assignment_sub>assignment_vis>forum_vis>assignment_vis;271;690506;555831.553505535;2420;12;271;271;1.29 (+- 0.49);1.5;1.5;2
4;assignment_sub>assignment_vis>forum_vis>assignment_sub;386;690506;524818.7150259067;4968;23;386;386;1.27 (+- 0.51);1.5;1.5;2
4;assignment_sub>assignment_vis>resource_vis>resource_vis;246;690516;559437.8739837399;1178;6;246;246;1.18 (+- 0.54);1.0;1.5;2
4;assignment_sub>assignment_vis>resource_vis>assignment_vis;330;690528;564180.5696969697;3468;16;330;330;1.22 (+- 0.53);1.5;1.5;2
4;assignment_sub>assignment_vis>resource_vis>assignment_sub;521;690528;531874.1861804223;7732;33;521;521;1.23 (+- 0.53);1.5;1.5;2
4;assignment_sub>assignment_vis>resource_vis>assignment_try;165;690237;562579.593939394;330;2;165;165;1.24 (+- 0.55);1.5;1.5;2
4;assignment_sub>assignment_try>assignment_sub>assignment_vis;213;690282;594486.8497652583;828;4;213;213;1.24 (+- 0.50);1.5;1.5;2
4;assignment_sub>assignment_try>assignment_sub>assignment_sub;268;690282;588851.7014925373;1112;5;268;268;1.26 (+- 0.51);1.5;1.5;2
4;assignment_sub>assignment_try>assignment_vis>assignment_sub;372;690503;551607.7123655914;2606;11;372;372;1.29 (+- 0.53);1.5;1.5;2
4;assignment_sub>assignment_try>assignment_vis>assignment_vis;222;690276;560117.7747747748;838;4;222;222;1.27 (+- 0.53);1.5;1.5;2
4;assignment_sub>assignment_try>resource_vis>assignment_sub;207;690203;554533.5555555555;398;2;207;207;1.28 (+- 0.53);1.5;1.5;2
4;assignment_sub>assignment_sub>assignment_vis>assignment_sub;511;690303;579746.3287671233;4858;19;511;511;1.25 (+- 0.51);1.5;1.5;2
4;assignment_sub>assignment_sub>assignment_vis>assignment_vis;218;690237;586270.4678899082;854;4;218;218;1.28 (+- 0.51);1.5;1.5;2
4;assignment_sub>assignment_sub>assignment_try>assignment_sub;164;690034;592784.8292682926;164;1;164;164;1.32 (+- 0.47);1.5;1.5;2
4;assignment_sub>forum_vis>assignment_vis>assignment_vis;219;690438;572815.3059360731;1168;6;219;219;1.34 (+- 0.50);1.5;1.5;2
4;assignment_sub>forum_vis>assignment_vis>assignment_sub;300;690506;549321.7933333333;2702;13;300;300;1.31 (+- 0.49);1.5;1.5;2
4;assignment_sub>forum_vis>forum_vis>forum_vis;290;690438;533444.0586206897;6088;30;290;290;1.30 (+- 0.51);1.5;1.5;2
4;assignment_sub>forum_vis>forum_vis>assignment_vis;233;690438;563177.69527897;2294;12;233;233;1.31 (+- 0.49);1.5;1.5;2
4;assignment_sub>forum_vis>forum_vis>assignment_sub;344;690438;521172.55523255817;5867;28;344;344;1.31 (+- 0.50);1.5;1.5;2
4;assignment_sub>forum_vis>forum_vis>forum_participation;182;690266;520752.76373626373;704;4;182;182;1.28 (+- 0.51);1.5;1.5;2
4;assignment_sub>forum_vis>resource_vis>assignment_sub;186;690506;554413.0268817204;186;1;186;186;1.29 (+- 0.50);1.5;1.5;2
4;assignment_sub>forum_vis>assignment_sub>assignment_sub;187;690227;596817.5026737968;354;2;187;187;1.31 (+- 0.47);1.5;1.5;2
4;assignment_sub>forum_vis>forum_participation>forum_vis;167;690266;521955.32934131735;334;2;167;167;1.29 (+- 0.51);1.5;1.5;2
4;assignment_sub>forum_vis>forum_participation>assignment_sub;188;690266;519467.55319148937;707;4;188;188;1.29 (+- 0.51);1.5;1.5;2
