sequence_size;sequence;total;total_time_span;avg_time_span;i_support;f_support;s_support;ids;grade_avg;grade_median;grade_mode;max_grade
3;assignment_vis_START>forum_vis_START>assignment_vis_END;311;690584;573422.9324758842;9955;53;311;311;1.27 (+- 0.52);1.5;1.5;2
3;assignment_vis_START>forum_vis_START>assignment_sub_END;312;690584;573130.858974359;8838;47;312;312;1.28 (+- 0.52);1.5;1.5;2
3;assignment_vis_START>forum_vis_START>forum_vis_START;214;690267;476485.3878504673;724;4;214;214;1.25 (+- 0.52);1.5;1.5;2
3;assignment_vis_START>forum_vis_START>assignment_try_END;249;690584;576000.2248995984;4726;26;249;249;1.26 (+- 0.53);1.5;1.5;2
3;assignment_vis_START>forum_vis_START>forum_vis_END;168;690238;577542.1488095238;672;4;168;168;1.31 (+- 0.53);1.5;1.5;2
3;assignment_vis_START>forum_vis_END>assignment_vis_END;298;690598;575584.600671141;8282;42;298;298;1.28 (+- 0.51);1.5;1.5;2
3;assignment_vis_START>forum_vis_END>forum_vis_END;167;690598;577874.2694610779;666;4;167;167;1.35 (+- 0.51);1.5;1.5;2
3;assignment_vis_START>forum_vis_END>assignment_try_END;225;690598;574009.4311111111;2244;12;225;225;1.27 (+- 0.51);1.5;1.5;2
3;assignment_vis_START>forum_vis_END>assignment_sub_END;300;690598;575734.3566666667;8116;41;300;300;1.28 (+- 0.52);1.5;1.5;2
3;assignment_vis_START>resource_vis_END>assignment_vis_END;484;690598;574211.8615702479;47629;215;484;484;1.23 (+- 0.51);1.5;1.5;2
3;assignment_vis_START>resource_vis_END>assignment_try_END;350;690598;577158.4428571429;22972;109;350;350;1.21 (+- 0.51);1.0;1.5;2
3;assignment_vis_START>resource_vis_END>assignment_sub_END;499;690598;573162.6813627254;46307;208;499;499;1.23 (+- 0.51);1.5;1.5;2
3;assignment_try_START>assignment_sub_START>assignment_vis_START;901;690598;484107.8102108768;70115;230;901;901;1.24 (+- 0.53);1.5;1.5;2
3;assignment_try_START>assignment_sub_START>assignment_vis_END;824;690598;588961.2463592233;110200;354;824;824;1.23 (+- 0.53);1.5;1.5;2
3;assignment_try_START>assignment_sub_START>assignment_try_END;720;690598;593362.95;89160;280;720;720;1.23 (+- 0.54);1.5;1.5;2
3;assignment_try_START>assignment_sub_START>assignment_sub_END;825;690598;588831.9551515152;97126;301;825;825;1.23 (+- 0.53);1.5;1.5;2
3;assignment_try_START>assignment_sub_START>assignment_try_START;256;690185;278682.7109375;1812;8;256;256;1.27 (+- 0.53);1.5;1.5;2
3;assignment_try_START>assignment_sub_START>assignment_sub_START;231;690185;185824.54545454544;1712;8;231;231;1.25 (+- 0.53);1.5;1.5;2
3;assignment_try_START>assignment_sub_START>forum_vis_END;191;690506;596359.5183246073;2824;16;191;191;1.25 (+- 0.53);1.5;1.5;2
3;assignment_try_START>assignment_sub_START>forum_vis_START;199;690438;520340.5075376884;1740;10;199;199;1.27 (+- 0.50);1.5;1.5;2
3;assignment_try_START>assignment_sub_START>resource_vis_END;330;690528;595000.4727272728;17410;78;330;330;1.21 (+- 0.52);1.0;1.5;2
3;assignment_try_START>assignment_vis_START>assignment_vis_END;837;690598;586646.9426523298;119032;398;837;837;1.24 (+- 0.53);1.5;1.5;2
3;assignment_try_START>assignment_vis_START>assignment_try_END;673;690598;593045.0534918277;89100;288;673;673;1.23 (+- 0.54);1.5;1.5;2
3;assignment_try_START>assignment_vis_START>assignment_sub_END;838;690598;586522.4188544153;105170;343;838;838;1.24 (+- 0.53);1.5;1.5;2
3;assignment_try_START>assignment_vis_START>assignment_try_START;315;690185;318989.69523809524;2360;10;315;315;1.25 (+- 0.54);1.5;1.5;2
3;assignment_try_START>assignment_vis_START>assignment_sub_START;587;690230;351050.7461669506;16745;69;587;587;1.17 (+- 0.59);1.0;1.5;2
3;assignment_try_START>assignment_vis_START>forum_vis_END;200;690506;594627.175;2896;16;200;200;1.27 (+- 0.52);1.5;1.5;2
3;assignment_try_START>assignment_vis_START>forum_vis_START;200;690438;517809.805;1736;10;200;200;1.27 (+- 0.51);1.5;1.5;2
3;assignment_try_START>assignment_vis_START>assignment_vis_START;490;690509;468814.893877551;19966;85;490;490;1.25 (+- 0.54);1.5;1.5;2
3;assignment_try_START>assignment_vis_START>resource_vis_START;205;690157;450378.7268292683;410;2;205;205;1.15 (+- 0.58);1.0;1.5;2
3;assignment_try_START>assignment_vis_START>resource_vis_END;347;690528;590568.8213256485;16242;70;347;347;1.21 (+- 0.52);1.0;1.5;2
3;assignment_try_START>assignment_vis_END>assignment_try_END;755;690598;591333.1430463577;118196;370;755;755;1.23 (+- 0.54);1.5;1.5;2
3;assignment_try_START>assignment_vis_END>assignment_vis_END;706;690582;590598.0368271954;108052;374;706;706;1.26 (+- 0.53);1.5;1.5;2
3;assignment_try_START>assignment_vis_END>assignment_sub_END;947;690598;584345.6388595565;151455;489;947;947;1.23 (+- 0.54);1.5;1.5;2
3;assignment_try_START>assignment_vis_END>forum_vis_END;175;690506;597413.12;1388;8;175;175;1.27 (+- 0.54);1.5;1.5;2
3;assignment_try_START>assignment_vis_END>resource_vis_END;291;690528;593534.6082474227;12088;56;291;291;1.23 (+- 0.53);1.5;1.5;2
