sequence_size;sequence;total;total_time_span;avg_time_span;i_support;f_support;s_support;ids;grade_avg;grade_median;grade_mode;max_grade
3;resource_vis_START>assignment_sub_END>assignment_sub_END;267;690470;588593.4794007491;826;4;267;267;1.29 (+- 0.51);1.5;1.5;2
3;resource_vis_START>assignment_vis_END>assignment_sub_END;203;690203;588355.8817733991;376;2;203;203;1.21 (+- 0.54);1.5;1.5;2
3;resource_vis_START>assignment_vis_END>resource_vis_END;173;690186;588825.1907514451;346;2;173;173;1.20 (+- 0.52);1.5;1.5;2
3;resource_vis_START>resource_vis_END>assignment_sub_END;286;690470;579872.7902097902;1278;6;286;286;1.22 (+- 0.53);1.5;1.5;2
3;resource_vis_START>assignment_try_END>assignment_sub_END;201;690470;587230.0199004975;366;2;201;201;1.24 (+- 0.53);1.0;1.0;2
3;forum_vis_START>assignment_vis_START>assignment_sub_END;255;690526;574389.1215686274;423;2;255;255;1.29 (+- 0.51);1.5;1.5;2
3;forum_vis_START>assignment_sub_START>assignment_sub_END;162;690305;590484.074074074;162;1;162;162;1.28 (+- 0.56);1.5;1.5;2
3;forum_vis_START>assignment_sub_END>assignment_sub_END;220;690252;577205.8363636363;220;1;220;220;1.34 (+- 0.49);1.5;1.0;2
3;forum_vis_START>forum_vis_START>assignment_sub_END;209;690223;570586.4066985646;209;1;209;209;1.30 (+- 0.50);1.5;1.5;2
3;forum_vis_START>forum_participation_START>forum_vis_START;170;690208;475114.87058823527;170;1;170;170;1.28 (+- 0.54);1.5;1.5;2
3;forum_vis_START>assignment_vis_END>assignment_sub_END;165;690203;578120.1272727273;165;1;165;165;1.27 (+- 0.53);1.5;1.5;2
3;forum_vis_START>forum_vis_END>assignment_sub_END;205;690424;572149.8585365854;205;1;205;205;1.31 (+- 0.52);1.5;1.5;2
3;forum_vis_START>resource_vis_END>assignment_sub_END;170;690238;575073.8294117647;170;1;170;170;1.29 (+- 0.52);1.5;1.5;2
3;assignment_vis_END>forum_vis_END>assignment_sub_END;250;690319;491305.7;427;2;250;250;1.26 (+- 0.52);1.5;1.5;2
3;assignment_vis_END>assignment_sub_END>assignment_sub_END;237;690319;466424.5358649789;589;3;237;237;1.29 (+- 0.50);1.5;1.5;2
3;assignment_vis_END>resource_vis_END>assignment_sub_END;379;690319;460233.48548812664;1402;6;379;379;1.24 (+- 0.52);1.5;1.5;2
3;assignment_vis_END>assignment_try_END>assignment_sub_END;167;690319;465367.125748503;167;1;167;167;1.26 (+- 0.51);1.5;1.5;2
