sequence_size;sequence;total;total_time_span;avg_time_span;i_support;f_support;s_support;ids;grade_avg;grade_median;grade_mode;max_grade
4;assignment_vis>resource_vis>assignment_vis>resource_vis;259;690230;496883.79922779923;862;4;259;259;1.20 (+- 0.53);1.5;1.5;2
4;assignment_vis>resource_vis>assignment_vis>assignment_sub;322;690230;493339.2888198758;1145;5;322;322;1.21 (+- 0.54);1.5;1.5;2
4;assignment_vis>resource_vis>assignment_vis>forum_vis;178;690203;512918.94943820225;356;2;178;178;1.25 (+- 0.55);1.5;1.5;2
4;assignment_vis>resource_vis>resource_vis>assignment_sub;321;690319;490958.7788161994;1282;6;321;321;1.21 (+- 0.55);1.5;1.5;2
4;assignment_vis>resource_vis>assignment_sub>assignment_sub;528;690540;474426.1590909091;2077;9;528;528;1.27 (+- 0.52);1.5;1.5;2
4;assignment_vis>resource_vis>assignment_sub>assignment_vis;214;690230;535296.9813084112;772;4;214;214;1.22 (+- 0.52);1.5;1.5;2
4;assignment_vis>resource_vis>assignment_sub>resource_vis;202;690237;540276.896039604;748;4;202;202;1.23 (+- 0.52);1.5;1.5;2
4;assignment_vis>resource_vis>assignment_sub>assignment_try;209;690458;499498.0861244019;418;2;209;209;1.31 (+- 0.50);1.5;1.5;2
4;assignment_vis>resource_vis>assignment_try>assignment_sub;348;690540;465516.7068965517;892;4;348;348;1.25 (+- 0.56);1.5;1.5;2
4;assignment_vis>resource_vis>assignment_try>resource_vis;165;690319;516195.62424242427;330;2;165;165;1.22 (+- 0.56);1.5;1.5;2
4;assignment_vis>forum_vis>assignment_vis>resource_vis;166;690319;500294.1445783133;332;2;166;166;1.20 (+- 0.55);1.5;1.5;2
4;assignment_vis>forum_vis>assignment_vis>assignment_sub;262;690319;495251.01145038166;804;4;262;262;1.22 (+- 0.53);1.5;1.5;2
4;assignment_vis>forum_vis>assignment_vis>forum_vis;214;690319;506550.8878504673;428;2;214;214;1.25 (+- 0.52);1.5;1.5;2
4;assignment_vis>forum_vis>resource_vis>assignment_sub;273;690540;481721.68131868134;439;2;273;273;1.22 (+- 0.57);1.5;1.5;2
4;assignment_vis>forum_vis>assignment_sub>assignment_sub;302;690554;515656.6655629139;470;2;302;302;1.31 (+- 0.51);1.5;1.5;2
4;assignment_vis>forum_vis>forum_vis>assignment_vis;162;690137;512330.4135802469;324;2;162;162;1.26 (+- 0.52);1.5;1.5;2
4;assignment_vis>forum_vis>forum_vis>forum_vis;218;690358;502295.4128440367;436;2;218;218;1.28 (+- 0.51);1.5;1.5;2
4;assignment_vis>forum_vis>forum_vis>assignment_sub;318;690554;479771.2924528302;1824;9;318;318;1.26 (+- 0.53);1.5;1.5;2
4;assignment_vis>forum_vis>forum_vis>forum_participation;164;690208;509140.993902439;328;2;164;164;1.29 (+- 0.50);1.5;1.5;2
4;assignment_vis>forum_vis>forum_participation>forum_vis;196;690208;482336.7091836735;392;2;196;196;1.28 (+- 0.51);1.5;1.5;2
4;assignment_vis>forum_vis>forum_participation>assignment_sub;220;690208;487309.3409090909;580;3;220;220;1.28 (+- 0.51);1.5;1.5;2
4;assignment_vis>forum_vis>assignment_try>assignment_sub;231;690554;499096.51948051946;231;1;231;231;1.29 (+- 0.51);1.5;1.5;2
4;assignment_vis>assignment_vis>resource_vis>assignment_sub;322;690319;492867.67391304346;1119;5;322;322;1.20 (+- 0.54);1.5;1.5;2
